"Name","Symbol","Exchange"
"360 ONE WAM Ltd.","360ONE.NS","NSE"
"3M India Ltd.","3MINDIA.NS","NSE"
"ABB India Ltd.","ABB.NS","NSE"
"ACC Ltd.","ACC.NS","NSE"
"ACME Solar Holdings Ltd.","ACMESOLAR.NS","NSE"
"AIA Engineering Ltd.","AIAENG.NS","NSE"
"APL Apollo Tubes Ltd.","APLAPOLLO.NS","NSE"
"AU Small Finance Bank Ltd.","AUBANK.NS","NSE"
"AWL Agri Business Ltd.","AWL.NS","NSE"
"Aadhar Housing Finance Ltd.","AADHARHFC.NS","NSE"
"Aarti Industries Ltd.","AARTIIND.NS","NSE"
"Aavas Financiers Ltd.","AAVAS.NS","NSE"
"Abbott India Ltd.","ABBOTINDIA.NS","NSE"
"Action Construction Equipment Ltd.","ACE.NS","NSE"
"Adani Energy Solutions Ltd.","ADANIENSOL.NS","NSE"
"Adani Enterprises Ltd.","ADANIENT.NS","NSE"
"Adani Green Energy Ltd.","ADANIGREEN.NS","NSE"
"Adani Ports and Special Economic Zone Ltd.","ADANIPORTS.NS","NSE"
"Adani Power Ltd.","ADANIPOWER.NS","NSE"
"Adani Total Gas Ltd.","ATGL.NS","NSE"
"Aditya Birla Capital Ltd.","ABCAPITAL.NS","NSE"
"Aditya Birla Fashion and Retail Ltd.","ABFRL.NS","NSE"
"Aditya Birla Real Estate Ltd.","ABREL.NS","NSE"
"Aditya Birla Sun Life AMC Ltd.","ABSLAMC.NS","NSE"
"Aegis Logistics Ltd.","AEGISLOG.NS","NSE"
"Afcons Infrastructure Ltd.","AFCONS.NS","NSE"
"Affle 3i Ltd.","AFFLE.NS","NSE"
"Ajanta Pharmaceuticals Ltd.","AJANTPHARM.NS","NSE"
"Akums Drugs and Pharmaceuticals Ltd.","AKUMS.NS","NSE"
"Alembic Pharmaceuticals Ltd.","APLLTD.NS","NSE"
"Alivus Life Sciences Ltd.","ALIVUS.NS","NSE"
"Alkem Laboratories Ltd.","ALKEM.NS","NSE"
"Alkyl Amines Chemicals Ltd.","ALKYLAMINE.NS","NSE"
"Alok Industries Ltd.","ALOKINDS.NS","NSE"
"Amara Raja Energy & Mobility Ltd.","ARE&M.NS","NSE"
"Amber Enterprises India Ltd.","AMBER.NS","NSE"
"Ambuja Cements Ltd.","AMBUJACEM.NS","NSE"
"Anand Rathi Wealth Ltd.","ANANDRATHI.NS","NSE"
"Anant Raj Ltd.","ANANTRAJ.NS","NSE"
"Angel One Ltd.","ANGELONE.NS","NSE"
"Apar Industries Ltd.","APARINDS.NS","NSE"
"Apollo Hospitals Enterprise Ltd.","APOLLOHOSP.NS","NSE"
"Apollo Tyres Ltd.","APOLLOTYRE.NS","NSE"
"Aptus Value Housing Finance India Ltd.","APTUS.NS","NSE"
"Asahi India Glass Ltd.","ASAHIINDIA.NS","NSE"
"Ashok Leyland Ltd.","ASHOKLEY.NS","NSE"
"Asian Paints Ltd.","ASIANPAINT.NS","NSE"
"Aster DM Healthcare Ltd.","ASTERDM.NS","NSE"
"AstraZenca Pharma India Ltd.","ASTRAZEN.NS","NSE"
"Astral Ltd.","ASTRAL.NS","NSE"
"Atul Ltd.","ATUL.NS","NSE"
"Aurobindo Pharma Ltd.","AUROPHARMA.NS","NSE"
"Authum Investment & Infrastructure Ltd.","AIIL.NS","NSE"
"Avenue Supermarts Ltd.","DMART.NS","NSE"
"Axis Bank Ltd.","AXISBANK.NS","NSE"
"BASF India Ltd.","BASF.NS","NSE"
"BEML Ltd.","BEML.NS","NSE"
"BLS International Services Ltd.","BLS.NS","NSE"
"BSE Ltd.","BSE.NS","NSE"
"Bajaj Auto Ltd.","BAJAJ-AUTO.NS","NSE"
"Bajaj Finance Ltd.","BAJFINANCE.NS","NSE"
"Bajaj Finserv Ltd.","BAJAJFINSV.NS","NSE"
"Bajaj Holdings & Investment Ltd.","BAJAJHLDNG.NS","NSE"
"Bajaj Housing Finance Ltd.","BAJAJHFL.NS","NSE"
"Balkrishna Industries Ltd.","BALKRISIND.NS","NSE"
"Balrampur Chini Mills Ltd.","BALRAMCHIN.NS","NSE"
"Bandhan Bank Ltd.","BANDHANBNK.NS","NSE"
"Bank of Baroda","BANKBARODA.NS","NSE"
"Bank of India","BANKINDIA.NS","NSE"
"Bank of Maharashtra","MAHABANK.NS","NSE"
"Bata India Ltd.","BATAINDIA.NS","NSE"
"Bayer Cropscience Ltd.","BAYERCROP.NS","NSE"
"Berger Paints India Ltd.","BERGEPAINT.NS","NSE"
"Bharat Dynamics Ltd.","BDL.NS","NSE"
"Bharat Electronics Ltd.","BEL.NS","NSE"
"Bharat Forge Ltd.","BHARATFORG.NS","NSE"
"Bharat Heavy Electricals Ltd.","BHEL.NS","NSE"
"Bharat Petroleum Corporation Ltd.","BPCL.NS","NSE"
"Bharti Airtel Ltd.","BHARTIARTL.NS","NSE"
"Bharti Hexacom Ltd.","BHARTIHEXA.NS","NSE"
"Bikaji Foods International Ltd.","BIKAJI.NS","NSE"
"Biocon Ltd.","BIOCON.NS","NSE"
"Birlasoft Ltd.","BSOFT.NS","NSE"
"Blue Dart Express Ltd.","BLUEDART.NS","NSE"
"Blue Star Ltd.","BLUESTARCO.NS","NSE"
"Bombay Burmah Trading Corporation Ltd.","BBTC.NS","NSE"
"Bosch Ltd.","BOSCHLTD.NS","NSE"
"Brainbees Solutions Ltd.","FIRSTCRY.NS","NSE"
"Brigade Enterprises Ltd.","BRIGADE.NS","NSE"
"Britannia Industries Ltd.","BRITANNIA.NS","NSE"
"C.E. Info Systems Ltd.","MAPMYINDIA.NS","NSE"
